epoch,operation,count,sample_rate
1,affine,485,0.14831804281345565
1,blur,433,0.13241590214067278
1,jpeg,493,0.1507645259938838
1,low_resolution,1329,0.40642201834862385
1,near_identity,642,0.1963302752293578
1,noise,344,0.10519877675840979
1,perspective,290,0.08868501529051988
1,photometric,746,0.22813455657492354
1,preprocess:adaptive_noise_3way,555,0.16972477064220184
1,preprocess:clahe_clip1_tile4,519,0.15871559633027524
1,preprocess:clahe_rl_deblur_bilateral,420,0.12844036697247707
1,preprocess:raw_rgb,396,0.12110091743119267
1,preprocess:train_baseline,1380,0.42201834862385323
1,unwrap_two_line,622,0.19021406727828746
1,upscale_2x,2547,0.7788990825688074
1,upscale_3x,379,0.11590214067278287
1,zoom,1097,0.3354740061162079
2,affine,482,0.1474006116207951
2,blur,496,0.15168195718654434
2,jpeg,468,0.14311926605504588
2,low_resolution,1269,0.38807339449541284
2,near_identity,625,0.191131498470948
2,noise,372,0.11376146788990826
2,perspective,326,0.09969418960244648
2,photometric,692,0.21162079510703363
2,preprocess:adaptive_noise_3way,551,0.16850152905198776
2,preprocess:clahe_clip1_tile4,520,0.15902140672782875
2,preprocess:clahe_rl_deblur_bilateral,405,0.12385321100917432
2,preprocess:raw_rgb,411,0.12568807339449542
2,preprocess:train_baseline,1383,0.42293577981651376
2,unwrap_two_line,629,0.19235474006116207
2,upscale_2x,2482,0.7590214067278287
2,upscale_3x,403,0.12324159021406728
2,zoom,1095,0.3348623853211009
3,affine,494,0.1510703363914373
3,blur,450,0.13761467889908258
3,jpeg,481,0.1470948012232416
3,low_resolution,1269,0.38807339449541284
3,near_identity,641,0.19602446483180427
3,noise,358,0.10948012232415902
3,perspective,296,0.09051987767584098
3,photometric,707,0.21620795107033638
3,preprocess:adaptive_noise_3way,542,0.1657492354740061
3,preprocess:clahe_clip1_tile4,526,0.16085626911314985
3,preprocess:clahe_rl_deblur_bilateral,388,0.11865443425076452
3,preprocess:raw_rgb,438,0.13394495412844037
3,preprocess:train_baseline,1376,0.42079510703363915
3,unwrap_two_line,648,0.1981651376146789
3,upscale_2x,2553,0.7807339449541284
3,upscale_3x,393,0.12018348623853212
3,zoom,1120,0.3425076452599388
4,affine,470,0.1437308868501529
4,blur,477,0.14587155963302753
4,jpeg,466,0.14250764525993884
4,low_resolution,1317,0.40275229357798165
4,near_identity,679,0.20764525993883792
4,noise,369,0.11284403669724771
4,perspective,300,0.09174311926605505
4,photometric,688,0.21039755351681957
4,preprocess:adaptive_noise_3way,554,0.1694189602446483
4,preprocess:clahe_clip1_tile4,520,0.15902140672782875
4,preprocess:clahe_rl_deblur_bilateral,382,0.11681957186544342
4,preprocess:raw_rgb,417,0.12752293577981652
4,preprocess:train_baseline,1397,0.427217125382263
4,unwrap_two_line,648,0.1981651376146789
4,upscale_2x,2511,0.7678899082568807
4,upscale_3x,369,0.11284403669724771
4,zoom,1118,0.3418960244648318
